"","hlev2g","wksuem","agegp","efmjsi","efmjie"
"391",2,96,16,5,1
"392",4,0,13,2,2
"393",4,0,10,2,1
"394",6,96,2,2,2
"395",3,0,9,2,1
"396",3,0,9,2,2
"397",6,96,3,2,2
"398",6,96,2,2,2
"399",6,96,2,2,2
"400",6,96,1,2,2
"401",3,2,7,2,2
"402",4,0,7,2,1
"403",4,0,7,2,1
"404",6,96,2,2,2
"405",6,96,1,2,2
"406",6,96,1,2,2
"407",4,0,10,2,1
"408",4,0,12,2,2
"409",1,0,4,2,2
"410",6,96,3,2,2
"411",2,0,8,2,1
"412",4,2,9,2,2
"413",6,96,1,2,2
"414",6,96,1,2,2
"415",6,96,1,2,2
"416",2,0,6,2,2
"417",2,0,13,4,1
"418",2,0,11,2,2
"419",3,0,11,2,1
"420",6,96,3,2,2
"421",6,96,3,2,2
"422",2,0,5,2,2
"423",3,0,14,2,1
"424",4,52,14,2,2
"425",2,0,7,2,2
"426",3,0,7,2,1
"427",6,96,2,2,2
"428",6,96,1,2,2
"429",6,96,1,2,2
"430",6,96,1,2,2
"431",4,0,14,6,1
"432",4,96,16,4,1
"433",3,96,16,4,2
"434",1,96,16,4,1
"435",1,0,15,4,2
"436",1,96,16,4,1
"437",1,0,14,2,1
"438",1,0,10,2,2
"439",6,96,1,2,2
"440",4,0,12,2,1
"441",1,0,4,2,2
"442",6,96,3,2,2
"443",3,96,16,4,1
"444",2,96,16,4,2
"445",2,0,14,2,2
"446",4,0,10,2,1
"447",1,0,11,2,2
"448",3,0,10,2,1
"449",1,39,5,2,2
"450",3,0,11,2,2
"451",3,0,12,2,1
"452",1,52,15,6,2
"453",4,52,14,6,1
"454",1,0,12,2,2
"455",3,0,12,2,2
"456",4,0,6,2,2
"457",2,0,5,2,1
"458",2,0,13,4,1
"459",3,0,8,2,1
"460",1,0,8,4,1
"461",6,96,2,4,2
"462",6,96,1,4,2
"463",6,96,1,4,2
"464",1,26,13,4,1
"465",2,96,16,4,1
"466",3,0,10,2,2
"467",3,0,11,2,1
"468",1,26,15,4,1
"469",2,0,10,2,2
"470",2,0,11,2,1
"471",2,0,6,2,2
"472",3,0,13,2,2
"473",2,0,12,2,1
"474",3,0,6,2,1
"475",2,3,7,2,1
"476",4,0,10,2,1
"477",2,0,10,2,2
"478",3,0,9,2,1
"479",6,96,2,2,2
"480",6,96,1,2,2
"481",3,0,11,2,1
"482",1,0,12,2,2
"483",6,96,2,2,2
"484",3,0,12,2,2
"485",3,3,9,2,1
"486",6,96,3,2,2
"487",4,0,15,2,1
"488",4,52,14,2,2
"489",3,0,10,2,1
"490",4,0,11,2,2
"491",6,96,3,2,2
"492",6,96,3,2,2
"493",1,0,14,2,2
"494",2,0,13,2,1
"495",2,0,13,2,1
"496",1,0,12,2,2
"497",1,96,16,4,1
"498",2,0,12,2,1
"499",2,2,10,3,2
"500",2,0,10,3,1
"501",6,96,3,3,2
